Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
Pengaruh komposisi campuran beton dan jenis semen terhadap kelecakan (concrete workability) dan kuat tekan beton,https://scholar.google.com/scholar?q=+intitle:%27Pengaruh%20komposisi%20campuran%20beton%20dan%20jenis%20semen%20terhadap%20kelecakan%20(concrete%20workability)%20dan%20kuat%20tekan%20beton%27,N/A,"The 4th Conference on Innovation and Application of Science and Technology …, 2021",2021,7 cited,N/A,"Authors : A Ximenes, A Halim, A Suraji",N/A,N/A
IDENTIFIKASI DAN KLASIFIKASI TANAH EKSPANSIF PADA JALAN NASIONAL RUAS CARUBAN-NGAWI,https://scholar.google.com/scholar?q=+intitle:%27IDENTIFIKASI%20DAN%20KLASIFIKASI%20TANAH%20EKSPANSIF%20PADA%20JALAN%20NASIONAL%20RUAS%20CARUBAN-NGAWI%27,N/A,"Prosiding Forum Studi Transportasi antar Perguruan Tinggi, 512-512, 2021",2021,1 cited,N/A,"Authors : A Suraji, AT Sudjianto, R Riman",N/A,N/A
Analysis of bus performance on the risk of traffic accidents in East Java-Indonesia,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20bus%20performance%20on%20the%20risk%20of%20traffic%20accidents%20in%20East%20Java-Indonesia%27,N/A,"EUREKA: Physics and Engineering,(3), 111-118, 2021",2021,8 cited,N/A,"Authors : A Suraji, L Djakfar, A Wicaksono",N/A,N/A
Analisis Perbedaan Struktur Perkerasan Jalan Menggunakan Beban Sumbu Standar dan Beban Sumbu Riil,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Perbedaan%20Struktur%20Perkerasan%20Jalan%20Menggunakan%20Beban%20Sumbu%20Standar%20dan%20Beban%20Sumbu%20Riil%27,N/A,"Bowplank Jurnal Ilmiah Teknik Sipil dan Lingkungan 1 (1), 1-14, 2021",2021,3 cited,N/A,"Authors : AA Rahman, A Suraji, M Cakrawala",N/A,N/A
Peningkatan Akurasi Penghitungan Jumlah Kendaraan dengan Membangkitkan Urutan Identitas Deteksi Berbasis Yolov4 Deep Neural Networks,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Akurasi%20Penghitungan%20Jumlah%20Kendaraan%20dengan%20Membangkitkan%20Urutan%20Identitas%20Deteksi%20Berbasis%20Yolov4%20Deep%20Neural%20Networks%27,N/A,"TEKNIK 42 (2), 169-177, 2021",2021,9 cited,N/A,"Authors : F Rofii, G Priyandoko, MI Fanani, A Suraji",N/A,N/A
18.1. _Romy_CIASTECH_Studi_Sensor,https://scholar.google.com/scholar?q=+intitle:%2718.1.%20_Romy_CIASTECH_Studi_Sensor%27,N/A,"Proceeding The 3th Conference on Innovation and Application of Science and …, 2020",2020,0 cited,N/A,"Authors : RB Widodo, W Swastika, AB Haryasena",N/A,N/A
"HUBUNGAN ANTARA TINGKAT PELAYANAN JALAN DENGAN EMISI GAS BUANG PADA SALAH SATU BUNDARAN DI BATU PAHAT, JOHOR","https://scholar.google.com/scholar?q=+intitle:%27HUBUNGAN%20ANTARA%20TINGKAT%20PELAYANAN%20JALAN%20DENGAN%20EMISI%20GAS%20BUANG%20PADA%20SALAH%20SATU%20BUNDARAN%20DI%20BATU%20PAHAT,%20JOHOR%27",N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2020",2020,0 cited,N/A,"Authors : JB Setiawan, A Suraji, A Halim",N/A,N/A
Comparison of Cumulative Equivalent Standard Axle Load of heavy vehicles under various load conditions,https://scholar.google.com/scholar?q=+intitle:%27Comparison%20of%20Cumulative%20Equivalent%20Standard%20%20Axle%20Load%20of%20heavy%20vehicles%20under%20various%20load%20%20conditions%27,N/A,"International Journal of Engineering and Innovative Technology (IJEIT) 10 (6 …, 2020",2020,2 cited,N/A,"Authors : A Suraji, AT Sujianto, Riman",N/A,N/A
Pembebanan Jaringan Jalan Pada Ruas Jalan Nasional Dengan Adanya Jalan Tol dan Non Tol Malang-Surabaya,https://scholar.google.com/scholar?q=+intitle:%27Pembebanan%20Jaringan%20Jalan%20Pada%20Ruas%20Jalan%20Nasional%20Dengan%20Adanya%20Jalan%20Tol%20dan%20Non%20Tol%20Malang-Surabaya%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2020",2020,1 cited,N/A,"Authors : A Suraji, M Cakrawala, D Irawan",N/A,N/A
ANALISIS PENGARUH BEBAN SUMBU KENDARAAN NIAGA PADA KONDISI BEBAN NORMAL TERHADAP PERKERASAN DI RUAS JALAN MALANG-SURABAYA,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20BEBAN%20SUMBU%20KENDARAAN%20NIAGA%20PADA%20KONDISI%20BEBAN%20NORMAL%20TERHADAP%20PERKERASAN%20DI%20RUAS%20JALAN%20MALANG-SURABAYA%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2020",2020,0 cited,N/A,"Authors : A Suraji, M Cakrawala",N/A,N/A
STUDI KESEHATAN DAN KESELAMATAN KERJA PEMELIHARAAN JALAN DENGAN METODE HAZARD ANALYSIS,https://scholar.google.com/scholar?q=+intitle:%27STUDI%20KESEHATAN%20DAN%20KESELAMATAN%20KERJA%20PEMELIHARAAN%20JALAN%20DENGAN%20METODE%20HAZARD%20ANALYSIS%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2020",2020,0 cited,N/A,"Authors : DA Putro, A Suraji, AT Sudjianto",N/A,N/A
"STUDI KELAYAKAN JALAN TEMBUS KLAMBU-BOGEL, KECAMATAN GODONG, KABUPATEN GROBOGAN, JAWA TENGAH","https://scholar.google.com/scholar?q=+intitle:%27STUDI%20KELAYAKAN%20JALAN%20TEMBUS%20KLAMBU-BOGEL,%20KECAMATAN%20GODONG,%20KABUPATEN%20GROBOGAN,%20JAWA%20TENGAH%27",N/A,"Prosiding Forum Studi Transportasi antar Perguruan Tinggi, 221-221, 2020",2020,0 cited,N/A,"Authors : A Suraji, M Fatkhurrozi",N/A,N/A
Analisis Kerusakan Jalan Menggunakan Metode Pavement Condition Index (Pci) Dan Surface Distress Indek (Sdi),https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kerusakan%20Jalan%20Menggunakan%20Metode%20Pavement%20Condition%20Index%20(Pci)%20Dan%20Surface%20Distress%20Indek%20(Sdi)%27,N/A,"Conference On Innovation And Application Of Science And Technology (Ciastech …, 2019",2019,25 cited,N/A,"Authors : R Yahya, MY Bin Aman, A Suraji, A Halim",N/A,N/A
Analisis Disain Perkerasan Jalan Dengan Metode Batas Kapasitas Jalan,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Disain%20Perkerasan%20Jalan%20Dengan%20Metode%20Batas%20Kapasitas%20Jalan%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2019",2019,1 cited,N/A,"Authors : N Desyana, PS Ayundaningtyas, HR Maulana, A Suraji",N/A,N/A
Analisis Perbandingan Nilai Cesa Kendaraan Berat antara Muatan Kosong Dengan Muatan Standar,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Perbandingan%20Nilai%20Cesa%20Kendaraan%20Berat%20antara%20Muatan%20Kosong%20Dengan%20Muatan%20Standar%27,N/A,"Ciastech 2018, 530-537, 2018",2018,3 cited,N/A,"Authors : A Suraji, AT Sujianto, R Riman",N/A,N/A
Pengaruh Sika Dan Abu Vulkanik Gunung Semeru Sebagai Pengganti Sebagian Semen Terhadap Kuat Tekan Beton,https://scholar.google.com/scholar?q=+intitle:%27Pengaruh%20Sika%20Dan%20Abu%20Vulkanik%20Gunung%20Semeru%20Sebagai%20Pengganti%20Sebagian%20Semen%20Terhadap%20Kuat%20Tekan%20Beton%27,N/A,"CIASTECH 1 (1), 401-410, 2018",2018,2 cited,N/A,"Authors : MD Mboru, A Halim, C Aditya, A Suraji",N/A,N/A
Analisis Perhitungan Geometrik Jalan pada Proyek Rehabilitasi dan Mantenance Jalan Tibar–Gleno Timor–Leste (Sta 420+ 000–45+ 855),https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Perhitungan%20Geometrik%20Jalan%20pada%20Proyek%20Rehabilitasi%20dan%20Mantenance%20Jalan%20Tibar%E2%80%93Gleno%20Timor%E2%80%93Leste%20(Sta%20420+%20000%E2%80%9345+%20855)%27,N/A,"Laporan PKL, 100, 2018",2018,0 cited,N/A,"Authors : AM NUNO, A Suraji",N/A,N/A
PENINGKATAN PRODUKSI INDUSTRI KERAJINAN KERAMIK DENGAN BLAYER ELEKTRIK,https://scholar.google.com/scholar?q=+intitle:%27PENINGKATAN%20PRODUKSI%20INDUSTRI%20KERAJINAN%20KERAMIK%20DENGAN%20BLAYER%20ELEKTRIK%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2018",2018,0 cited,N/A,"Authors : AT Sudjianto, A Suraji, A Qustoniah",N/A,N/A
Analysis of Road Surface Defects Using Road Condition Index Method on the Caruban-Ngawi Road Segment,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20Road%20Surface%20Defects%20Using%20Road%20Condition%20Index%20Method%20on%20the%20Caruban-Ngawi%20Road%20Segment%27,N/A,"J. Sci. Appl. Eng 1 (2), 2018",2018,13 cited,N/A,"Authors : A Suraji, AT Sudjianto, R Riman",N/A,N/A
Karakteristik Arus Lalu Lintas pada Ruas Jalan Caruban-Ngawi dan Proporsi Kendaraan Berat Selama 24 Jam Pengamatan,https://scholar.google.com/scholar?q=+intitle:%27Karakteristik%20Arus%20Lalu%20Lintas%20pada%20Ruas%20Jalan%20Caruban-Ngawi%20dan%20Proporsi%20Kendaraan%20Berat%20Selama%2024%20Jam%20Pengamatan%27,N/A,"Prosiding Seminar Nasional Aplikasi Teknologi Prasarana Wilayah (ATPW) 2017, 1-7, 2017",2017,2 cited,N/A,"Authors : A Suraji, AT Sujianto, C Aditya",N/A,N/A
Driver performance problems of intercity bus public transportation safety in Indonesia,https://scholar.google.com/scholar?q=+intitle:%27Driver%20performance%20problems%20of%20intercity%20bus%20public%20transportation%20safety%20in%20Indonesia%27,N/A,"IOP Conference Series: Materials Science and Engineering 267 (1), 012026, 2017",2017,10 cited,N/A,"Authors : A Suraji, S Harnen, A Wicaksono, L Djakfar",N/A,N/A
Optimalisasi Produksi Kerajinan Keramik dengan Alat Mixer Material Keramik Berbasis Elektrik,https://scholar.google.com/scholar?q=+intitle:%27Optimalisasi%20Produksi%20Kerajinan%20Keramik%20dengan%20Alat%20Mixer%20Material%20Keramik%20Berbasis%20Elektrik%27,N/A,"Seminar Nasional Hasil Pengabdian kepada Masyarakat 2017 2017 (Universitas …, 2017",2017,0 cited,N/A,"Authors : AT Sudjianto, A Suraji, A Qustoniah",N/A,N/A
Penggunaan Asbuton Lawele Dengan Bahan Additif Oli Bekas Kendaraan Untuk Meningkatkan Stabilitas Beton Aspal,https://scholar.google.com/scholar?q=+intitle:%27Penggunaan%20Asbuton%20Lawele%20Dengan%20Bahan%20Additif%20Oli%20Bekas%20Kendaraan%20Untuk%20Meningkatkan%20Stabilitas%20Beton%20Aspal%27,N/A,"Widya Teknika 21 (2), 2016",2016,2 cited,N/A,"Authors : M Sanam, RF Litelnoni, YM Punuf, A Suraji",N/A,N/A
Review Design Struktur Perkerasan Jalan Dengan Mempertimbangankan Pengaruh Beban Lebih (Overload),https://scholar.google.com/scholar?q=+intitle:%27Review%20Design%20Struktur%20Perkerasan%20Jalan%20Dengan%20Mempertimbangankan%20Pengaruh%20Beban%20Lebih%20(Overload)%27,N/A,"Prosiding Seminar Nasional Forum Dosen Indonesia (FDI) 2016, 2016",2016,3 cited,N/A,"Authors : A Suraji, AT Sudjianto",N/A,N/A
Penggunaan Asbuton Lawele Dengan Bahan Additif Oli Bekas Kendaraan Untuk Meningkatkan Stabilitas Beton Aspal,https://scholar.google.com/scholar?q=+intitle:%27Penggunaan%20Asbuton%20Lawele%20Dengan%20Bahan%20Additif%20Oli%20Bekas%20Kendaraan%20Untuk%20Meningkatkan%20Stabilitas%20Beton%20Aspal%27,N/A,"Widya Teknika 21 (2), 2016",2016,2 cited,N/A,"Authors : M Sanam, RF Litelnoni, YM Punuf, A Suraji",N/A,N/A
Penggunaan Asbuton Lawele Dengan Bahan Additif Oli Bekas Kendaraan Untuk Meningkatkan Stabilitas Beton Aspal,https://scholar.google.com/scholar?q=+intitle:%27Penggunaan%20Asbuton%20Lawele%20Dengan%20Bahan%20Additif%20Oli%20Bekas%20Kendaraan%20Untuk%20Meningkatkan%20Stabilitas%20Beton%20Aspal%27,N/A,"WIDYA TEKNIKA 21 (2), 2013",2013,2 cited,N/A,"Authors : M Sanam, RF Litelnoni, YM Punuf, A Suraji",N/A,N/A
Analisis Pembebanan Jaringan Jalan (Trip Assignment) pada Koridor Malang-Surabaya,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Pembebanan%20Jaringan%20Jalan%20(Trip%20Assignment)%20pada%20Koridor%20Malang-Surabaya%27,N/A,"WIDYA TEKNIKA 21 (2), 2013",2013,3 cited,N/A,"Authors : MB Kela, H Samara, FMJS Carlos, A Suraji",N/A,N/A
A confirmatory factor analysis of accidents caused by the motorcycle aspect in urban area,https://scholar.google.com/scholar?q=+intitle:%27A%20confirmatory%20factor%20analysis%20of%20accidents%20caused%20by%20the%20motorcycle%20aspect%20in%20urban%20area%27,N/A,"International Journal for Traffic and Transport Engineering 2 (1), 60-69, 2012",2012,16 cited,N/A,"Authors : A Suraji, N Tjahjono",N/A,N/A
Analisis sela kritis (critical gap) arus lalu lintas pada simpang tak bersinyal,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20sela%20kritis%20(critical%20gap)%20arus%20lalu%20lintas%20pada%20simpang%20tak%20bersinyal%27,N/A,"Widya Teknika 19 (1), 2011",2011,14 cited,N/A,Authors : A Suraji,N/A,N/A
Analisis Faktor Kendaraan Sepeda Motor Terhadap Risiko Kecelakaan Lalu Lintas,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Faktor%20Kendaraan%20Sepeda%20Motor%20Terhadap%20Risiko%20Kecelakaan%20Lalu%20Lintas%27,N/A,"Jurnal Transportasi. Simposium XIII, Semarang: FSTPT",2010,2 cited,N/A,"Authors : A Suraji, N Tjahjono, PT Widodo",N/A,N/A
Model kecelakaan sepeda motor pada suatu ruas jalan,https://scholar.google.com/scholar?q=+intitle:%27Model%20kecelakaan%20sepeda%20motor%20pada%20suatu%20ruas%20jalan%27,N/A,"Jurnal Transportasi 10 (1), 2010",2010,23 cited,N/A,"Authors : A Suraji, H Sulistio",N/A,N/A
Indikator faktor manusia terhadap kecelakaan sepeda motor,https://scholar.google.com/scholar?q=+intitle:%27Indikator%20faktor%20manusia%20terhadap%20kecelakaan%20sepeda%20motor%27,N/A,"Jurnal Transportasi 10 (2), 2010",2010,29 cited,N/A,"Authors : A Suraji, M Cakrawala, N Tjahjono, SB Effendy",N/A,N/A
Analisis factor kendaraan sepeda motor terhadap resiko kecelakaan lalu lintas,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20factor%20kendaraan%20sepeda%20motor%20terhadap%20resiko%20kecelakaan%20lalu%20lintas%27,N/A,"Universitas katolik soegijapranata semarang, 2010",2010,2 cited,N/A,"Authors : A Suraji, N Tjahjono, PT Widodo",N/A,N/A
Optimasi Waktu Siklus pada Simpang dengan Pengendalian Lampu Lalu Lintas,https://scholar.google.com/scholar?q=+intitle:%27Optimasi%20Waktu%20Siklus%20pada%20Simpang%20dengan%20Pengendalian%20Lampu%20Lalu%20Lintas%27,N/A,"Widya Teknika 7 (2), 139-149, 2009",2009,0 cited,N/A,Authors : A Suraji,N/A,N/A
Bagian Transportasi Jalan Raya,https://scholar.google.com/scholar?q=+intitle:%27Bagian%20Transportasi%20Jalan%20Raya%27,N/A,"Universitas Widyagama Malang. Malang, 2008",2008,2 cited,N/A,Authors : A Suraji,N/A,N/A
Lesson Study.(Suatu Strategi Peningkatan Profesioalisme Guru),https://scholar.google.com/scholar?q=+intitle:%27Lesson%20Study.(Suatu%20Strategi%20Peningkatan%20Profesioalisme%20Guru)%27,N/A,Jurnal Pendidikan dan Pengajaran UNDIKSHA. Edisi Khusus TH. XXXXI. Mei,2008,6 cited,N/A,Authors : IW Sadia,N/A,N/A
Pemodelan Monitoring dan Evaluasi Pemberlakuan Standar Mutu Jalan Raya,https://scholar.google.com/scholar?q=+intitle:%27Pemodelan%20Monitoring%20dan%20Evaluasi%20Pemberlakuan%20Standar%20Mutu%20Jalan%20Raya%27,N/A,"Prosiding pada Peringatan 25, 2005",2005,5 cited,N/A,"Authors : AT Mulyono, A Suraji",N/A,N/A
Efektivitas model konflik kognitif dan model siklus belajar untuk memperbaiki miskonsepsi siswa dalam pembelajaran fisika,https://scholar.google.com/scholar?q=+intitle:%27Efektivitas%20model%20konflik%20kognitif%20dan%20model%20siklus%20belajar%20untuk%20memperbaiki%20miskonsepsi%20siswa%20dalam%20pembelajaran%20fisika%27,N/A,"Jurnal pendidikan dan pengajaran 37 (3), 40-85, 2004",2004,15 cited,N/A,Authors : IW Sadia,N/A,N/A
Optimasi Waktu Siklus pada Simpang dengan Pengendalian Lampu Lalu Lintas,https://scholar.google.com/scholar?q=+intitle:%27Optimasi%20Waktu%20Siklus%20pada%20Simpang%20dengan%20Pengendalian%20Lampu%20Lalu%20Lintas%27,N/A,"Widya Teknika 7 (2), 139-149, 1999",1999,0 cited,N/A,Authors : A Suraji,N/A,N/A
Contributor Vol 4-2021,https://scholar.google.com/scholar?q=+intitle:%27Contributor%20Vol%204-2021%27,N/A,,0000,0 cited,N/A,"Authors : MR Hussain, MM Khan, R Rokhim, IAN Saskara, A Rahim, AT Nugraha, ...",N/A,N/A
ANALISIS PENGARUH VARIASI KADAR AIR TERHADAP SWELLING VOLUMETRIK TANAH LEMPUNG EKSPANSIF,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20VARIASI%20KADAR%20AIR%20TERHADAP%20SWELLING%20VOLUMETRIK%20TANAH%20LEMPUNG%20EKSPANSIF%27,N/A,,0000,0 cited,N/A,"Authors : NAA Uba, AT Sudjianto, A Suraji",N/A,N/A
Pengaruh Sika Dan Abu Vulkanik Gunung Semeru Sebagai Pengganti Sebagian Semen Terhadap Kuat Tekan Beton,https://scholar.google.com/scholar?q=+intitle:%27Pengaruh%20Sika%20Dan%20Abu%20Vulkanik%20Gunung%20Semeru%20Sebagai%20Pengganti%20Sebagian%20Semen%20Terhadap%20Kuat%20Tekan%20Beton%27,N/A,"CIASTECH 1 (1), 401-410, 0",0000,2 cited,N/A,"Authors : MD Mboru, A Halim, C Aditya, A Suraji",N/A,N/A
OPTIMALISASI PRODUKSI KERAJINAN KERAMIK DENGAN ALAT MIXER MATERIAL KERAMIK BERBASIS ELEKTRIK,https://scholar.google.com/scholar?q=+intitle:%27OPTIMALISASI%20PRODUKSI%20KERAJINAN%20KERAMIK%20DENGAN%20ALAT%20MIXER%20MATERIAL%20KERAMIK%20BERBASIS%20ELEKTRIK%27,N/A,,0000,0 cited,N/A,"Authors : AT Sudjianto, A Suraji, A Qustoniah",N/A,N/A
Pengaruh Sika Dan Abu Vulkanik Gunung Semeru Sebagai Pengganti Sebagian Semen Terhadap Kuat Tekan Beton,https://scholar.google.com/scholar?q=+intitle:%27Pengaruh%20Sika%20Dan%20Abu%20Vulkanik%20Gunung%20Semeru%20Sebagai%20Pengganti%20Sebagian%20Semen%20Terhadap%20Kuat%20Tekan%20Beton%27,N/A,"CIASTECH 1 (1), 401-410, 0",0000,2 cited,N/A,"Authors : MD Mboru, A Halim, C Aditya, A Suraji",N/A,N/A
OPTIMALISASI PRODUKSI KERAJINAN KERAMIK DENGAN ALAT MIXER MATERIAL KERAMIK BERBASIS ELEKTRIK,https://scholar.google.com/scholar?q=+intitle:%27OPTIMALISASI%20PRODUKSI%20KERAJINAN%20KERAMIK%20DENGAN%20ALAT%20MIXER%20MATERIAL%20KERAMIK%20BERBASIS%20ELEKTRIK%27,N/A,,0000,0 cited,N/A,"Authors : AT Sudjianto, A Suraji, A Qustoniah",N/A,N/A
PENINGKATAN PRODUKSI INDUSTRI KERAJINAN KERAMIK DENGAN BLAYER ELEKTRIK,https://scholar.google.com/scholar?q=+intitle:%27PENINGKATAN%20PRODUKSI%20INDUSTRI%20KERAJINAN%20KERAMIK%20DENGAN%20BLAYER%20ELEKTRIK%27,N/A,,0000,0 cited,N/A,"Authors : AT Sudjianto, A Suraji, A Qustoniah",N/A,N/A
Review Design Struktur Perkerasan Jalan Dengan Mempertimbangankan Pengaruh Beban Lebih (Overload),https://scholar.google.com/scholar?q=+intitle:%27Review%20Design%20Struktur%20Perkerasan%20Jalan%20Dengan%20Mempertimbangankan%20Pengaruh%20Beban%20Lebih%20(Overload)%27,N/A,,0000,0 cited,N/A,"Authors : A Suraji, AT Sudjianto",N/A,N/A
ANALISIS FAKTOR BEBAN SUMBU KENDARAAN BERAT TRUK PENGANGKUT PASIR DENGAN QUARRY DI LUMAJANG,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20FAKTOR%20BEBAN%20SUMBU%20KENDARAAN%20BERAT%20TRUK%20PENGANGKUT%20PASIR%20DENGAN%20QUARRY%20DI%20LUMAJANG%27,N/A,,0000,1 cited,N/A,"Authors : JM Ximenes, A Suraji, AT Sudjianto",N/A,N/A
KARAKTERISTIK ARUS LALU LINTAS PADA RUAS JALAN CARUBAN-NGAWI DAN PROPORSI KENDARAAN BERAT SELAMA 24 JAM PENGAMATAN,https://scholar.google.com/scholar?q=+intitle:%27KARAKTERISTIK%20ARUS%20LALU%20LINTAS%20PADA%20RUAS%20JALAN%20CARUBAN-NGAWI%20DAN%20PROPORSI%20KENDARAAN%20BERAT%20SELAMA%2024%20JAM%20PENGAMATAN%27,N/A,,0000,0 cited,N/A,"Authors : A Suraji, AT Sujianto, C Aditya",N/A,N/A
"HUBUNGAN ANTARA TINGKAT PELAYANAN JALAN DENGAN EMISI GAS BUANG PADA SALAH SATU BUNDARAN DI BATU PAHAT, JOHOR","https://scholar.google.com/scholar?q=+intitle:%27HUBUNGAN%20ANTARA%20TINGKAT%20PELAYANAN%20JALAN%20DENGAN%20EMISI%20GAS%20BUANG%20PADA%20SALAH%20SATU%20BUNDARAN%20DI%20BATU%20PAHAT,%20JOHOR%27",N/A,,0000,0 cited,N/A,"Authors : JB Setiawan, A Suraji, A Halim",N/A,N/A
Application of the Synthetic Over-Sampling Method to Increase the Sensitivity of Algorithm Classification for Class Imbalance in Small Spatial Datasets,https://scholar.google.com/scholar?q=+intitle:%27Application%20of%20the%20Synthetic%20Over-Sampling%20Method%20to%20Increase%20the%20Sensitivity%20of%20Algorithm%20Classification%20for%20Class%20Imbalance%20in%20Small%20Spatial%20Datasets%27,N/A,,0000,0 cited,N/A,"Authors : AV Vitianingsih, Z Othman, SSK Baharin, A Suraji, AL Maukar",N/A,N/A
Peningkatan Akurasi Penghitungan Jumlah Kendaraan dengan Membangkitkan Urutan Identitas Deteksi Berbasis Yolov4 Deep Neural Networks,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Akurasi%20Penghitungan%20Jumlah%20Kendaraan%20dengan%20Membangkitkan%20Urutan%20Identitas%20Deteksi%20Berbasis%20Yolov4%20Deep%20Neural%20Networks%27,N/A,"TEKNIK 42 (2), 169-177, 0",0000,1 cited,N/A,"Authors : F Rofii, G Priyandoko, MI Fanani, A Suraji",N/A,N/A
Landslides Risk Analysis on Pacitan–Ponorogo National Road Section of East Java Province,https://scholar.google.com/scholar?q=+intitle:%27Landslides%20Risk%20Analysis%20on%20Pacitan%E2%80%93Ponorogo%20National%20Road%20Section%20of%20East%20Java%20Province%27,N/A,,0000,0 cited,N/A,"Authors : AIM Indroyono, A Suraji, AT Sudjianto",N/A,N/A
